"county_name","Population Estimates, July 1 2022, (V2022)","Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2022)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2019","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010","FIPS Code"
"hamilton_county",NA,"5,119",NA,"5,107",NA,"0.2%","5,107","4,836","2.8%","13.2%","33.1%","49.5%","96.0%","1.4%","0.3%","0.7%","0.1%","1.5%","2.0%","94.3%","354","0.7%","7,880","86.5%","$170,600","$1,256","$453","$873","46","1,457","3.37","94.1%","1.5%","89.2%","83.9%","79.7%","20.5%","17.2%","9.4%","49.5%","41.3%","28,325","1,630","2,322","37,844","$8,453","20.8","$62,841","$30,476","9.6%","185","899","31,776","-4.2%","524","151","S","S","S","121","S","130","3.0","2.8","1,717.38","1,717.37","""36041"""
"essex_county",NA,"37,268",NA,"37,381",NA,"-0.3%","37,381","39,370","4.0%","15.8%","24.9%","47.9%","94.3%","2.8%","0.6%","0.8%","0.1%","1.4%","3.4%","91.8%","2,314","3.9%","25,236","76.6%","$162,700","$1,425","$556","$845","241","15,714","2.22","87.1%","6.3%","90.5%","84.0%","91.1%","30.5%","11.1%","5.3%","56.1%","57.2%","187,735","175,169","9,621","501,951","$13,378","22.6","$61,563","$34,555","11.3%","1,145","9,994","436,356","-1.0%","3,055","929","459","S","61","728","S","684","20.8","21.9","1,794.12","1,794.23","""36031"""
"oneida_county",NA,"230,274",NA,"232,125",NA,"-0.8%","232,125","234,878","5.4%","21.3%","19.4%","49.8%","85.6%","7.2%","0.4%","4.2%","0.1%","2.5%","6.6%","80.8%","14,447","8.4%","105,260","68.4%","$138,700","$1,305","$555","$807","377","90,866","2.42","88.9%","13.1%","90.3%","85.6%","88.8%","26.2%","9.5%","5.3%","57.6%","55.1%","1,007,823","1,934,408","255,399","3,166,524","$13,769","19.8","$61,733","$32,119","14.2%","4,773","87,671","3,686,107","-1.5%","12,392","4,142","2,494","622","314","3,209","204","3,272","191.5","193.7","1,212.33","1,212.43","""36065"""
"lewis_county",NA,"26,573",NA,"26,582",NA,"0.0%","26,582","27,087","5.9%","22.9%","19.6%","49.0%","97.0%","0.8%","0.3%","0.5%","0.1%","1.3%","1.7%","95.8%","1,768","1.2%","15,558","82.3%","$128,600","$1,263","$470","$725","74","10,453","2.52","92.2%","2.7%","88.3%","82.4%","91.1%","18.8%","10.2%","5.3%","59.4%","55.2%","26,155","109,591","20,088","285,459","$10,729","24.3","$60,049","$29,207","12.6%","518","4,661","197,562","-1.1%","1,622","458","S","S","S","S","S","S","20.9","21.3","1,274.64","1,274.68","""36049"""
"jefferson_county",NA,"116,295",NA,"116,721",NA,"-0.4%","116,721","116,229","7.3%","24.1%","14.6%","47.2%","87.3%","6.6%","0.7%","1.8%","0.3%","3.2%","7.7%","81.3%","10,146","4.5%","61,726","55.2%","$154,000","$1,354","$503","$1,072","161","45,517","2.45","80.2%","8.4%","93.0%","88.5%","91.2%","24.3%","10.4%","5.3%","50.8%","52.8%","249,192","660,389","139,374","1,911,846","$16,846","18.9","$58,271","$29,892","12.4%","2,370","28,834","1,150,451","-4.1%","5,278","1,930","1,029","383","128","1,431","172","1,322","92.0","91.6","1,268.70","1,268.59","""36045"""
"herkimer_county",NA,"59,937",NA,"60,139",NA,"-0.3%","60,139","64,519","4.9%","20.4%","21.5%","50.1%","95.7%","1.6%","0.3%","0.6%","Z","1.7%","2.6%","93.7%","4,142","2.9%","32,408","74.8%","$110,500","$1,163","$502","$709","79","24,441","2.43","90.4%","5.6%","89.4%","84.7%","90.9%","21.4%","11.8%","5.7%","60.1%","57.0%","84,428","188,478","54,857","555,113","$8,926","23.9","$60,561","$30,791","13.3%","1,080","12,350","458,929","-2.5%","3,233","958","580","143","S","806","S","787","42.6","45.7","1,411.54","1,411.47","""36043"""
"st_lawrence_county",NA,"108,051",NA,"108,505",NA,"-0.4%","108,505","111,944","4.8%","20.0%","18.2%","48.6%","93.6%","2.6%","1.1%","1.1%","0.1%","1.5%","2.4%","91.9%","7,032","3.6%","51,776","72.3%","$99,300","$1,168","$470","$741","253","41,224","2.36","87.2%","7.1%","89.2%","83.4%","88.6%","23.6%","11.6%","5.5%","52.9%","51.3%","197,372","708,929","85,576","1,448,805","$13,320","20.9","$54,351","$27,457","15.0%","1,827","26,318","1,139,427","-2.5%","4,772","1,488","745","S","S","1,123","106","1,081","40.5","41.8","2,679.52","2,680.38","""36089"""
"franklin_county",NA,"47,456",NA,"47,555",NA,"-0.2%","47,555","51,599","4.7%","19.2%","17.7%","44.8%","84.0%","6.5%","7.4%","0.5%","Z","1.6%","3.6%","81.7%","3,066","4.0%","25,418","71.1%","$118,800","$1,250","$472","$751","92","18,561","2.30","85.6%","7.2%","88.3%","82.0%","88.1%","21.6%","12.1%","6.8%","50.3%","51.8%","194,425","355,289","20,825","551,095","$10,918","20.7","$55,279","$27,826","16.7%","928","10,556","397,933","-2.3%","2,733","846","502","111","60","644","85","596","29.2","31.7","1,629.30","1,629.12","""36033"""
"cortland_county",NA,"46,311",NA,"46,809",NA,"-1.1%","46,809","49,336","4.8%","18.9%","17.1%","50.7%","94.1%","2.2%","0.4%","1.1%","Z","2.1%","3.1%","91.8%","2,597","2.6%","20,836","67.3%","$130,000","$1,342","$572","$811","43","18,260","2.38","84.3%","4.6%","91.9%","80.7%","90.1%","28.1%","9.6%","5.0%","63.4%","59.4%","150,910","273,559","27,025","723,450","$15,124","21.4","$62,163","$30,584","11.0%","1,019","15,065","554,119","0.6%","2,416","947","606","126","S","695","S","710","93.8","98.9","498.77","498.76","""36023"""
"onondaga_county",NA,"473,236",NA,"476,516",NA,"-0.7%","476,516","467,026","5.5%","21.1%","18.1%","51.4%","79.8%","12.0%","1.0%","3.8%","0.1%","3.4%","5.5%","76.2%","24,013","7.8%","211,699","65.2%","$154,100","$1,465","$604","$926","459","190,353","2.39","86.0%","10.6%","91.1%","85.0%","91.3%","36.5%","9.9%","4.8%","62.0%","58.7%","1,137,141","5,179,422","1,111,572","7,365,633","$15,948","20.1","$66,012","$36,338","14.2%","11,322","222,141","10,761,816","0.8%","30,051","9,250","5,829","1,648","620","7,388","552","7,271","612.2","600.0","778.39","778.39","""36067"""
"broome_county",NA,"197,240",NA,"198,683",NA,"-0.7%","198,683","200,600","4.9%","19.4%","19.7%","50.5%","85.3%","6.7%","0.3%","4.5%","0.1%","3.2%","4.8%","82.0%","11,051","7.2%","92,891","65.0%","$122,200","$1,237","$553","$806","336","81,031","2.33","84.7%","9.7%","90.2%","85.3%","90.6%","28.9%","12.1%","5.2%","56.6%","53.0%","448,487","1,758,495","162,280","2,735,985","$14,157","19.4","$53,982","$31,224","14.1%","4,056","69,271","3,062,933","-3.3%","10,090","3,120","1,935","S","236","2,383","199","2,386","281.6","284.2","705.64","705.77","""36007"""
"chenango_county",NA,"46,537",NA,"47,220",NA,"-1.4%","47,220","50,477","5.1%","20.7%","21.6%","49.7%","96.4%","1.0%","0.4%","0.6%","Z","1.5%","2.4%","94.5%","3,235","1.9%","24,421","76.3%","$107,900","$1,201","$496","$714","211","19,753","2.37","87.7%","3.2%","89.8%","83.4%","88.8%","18.3%","14.6%","5.0%","59.4%","55.5%","44,763","172,012","20,407","478,708","$10,006","23.7","$55,690","$29,992","13.3%","830","13,483","665,811","0.6%","2,702","695","387","140","S","569","S","533","52.8","56.5","893.59","893.55","""36017"""
"madison_county",NA,"67,658",NA,"68,016",NA,"-0.5%","68,016","73,442","4.7%","18.8%","19.8%","50.2%","94.5%","2.0%","0.8%","0.9%","Z","1.7%","2.5%","92.7%","4,232","2.5%","30,629","77.9%","$151,100","$1,437","$579","$789","95","24,779","2.54","90.2%","4.2%","89.8%","84.7%","92.8%","26.2%","9.2%","4.6%","57.5%","53.9%","110,035","312,409","32,456","834,512","$11,755","23.9","$63,312","$34,302","10.4%","1,313","17,329","670,136","-0.9%","4,323","1,226","727","234","S","982","78","965","103.9","112.2","654.85","654.84","""36053"""
"oswego_county",NA,"117,387",NA,"117,525",NA,"-0.1%","117,525","122,109","5.3%","20.9%","17.5%","49.7%","95.8%","1.2%","0.5%","0.7%","Z","1.7%","2.9%","93.5%","8,542","2.0%","54,819","73.8%","$115,900","$1,276","$547","$844","139","46,749","2.42","86.2%","3.8%","92.4%","87.8%","89.7%","20.8%","11.0%","5.1%","61.6%","58.0%","181,890","387,483","38,252","1,417,277","$11,966","24.7","$61,983","$31,565","15.7%","2,080","23,341","1,078,759","-2.8%","5,542","1,788","1,098","S","54","1,489","98","1,419","123.5","128.3","951.65","951.65","""36075"""
"chemung_county",NA,"83,045",NA,"84,148",NA,"-1.3%","84,148","88,830","5.2%","21.1%","19.8%","50.1%","87.8%","6.6%","0.4%","1.5%","Z","3.7%","3.6%","85.5%","6,106","3.0%","39,195","68.2%","$114,600","$1,223","$509","$918","138","34,223","2.33","89.4%","4.1%","90.7%","84.2%","89.5%","23.9%","11.5%","5.0%","57.5%","55.7%","157,451","650,790","307,203","1,378,836","$16,255","19.3","$58,175","$31,379","14.9%","1,691","30,929","1,275,336","-0.3%","3,894","1,492","845","220","70","1,158","54","1,163","206.6","218.1","407.33","407.35","""36015"""
"schuyler_county",NA,"17,752",NA,"17,898",NA,"-0.8%","17,898","18,343","4.7%","19.0%","22.5%","49.7%","96.1%","1.1%","0.3%","0.7%","Z","1.7%","1.9%","94.5%","1,383","1.7%","9,681","75.4%","$134,400","$1,300","$538","$753","80","7,542","2.35","93.5%","3.2%","89.7%","81.5%","90.8%","24.3%","11.4%","4.9%","58.0%","53.7%","45,324","55,582","66,619","152,658","$8,524","28.4","$56,437","$31,171","13.6%","359","3,600","137,886","-1.7%","1,225","364","228","S","S","310","S","295","54.5","55.9","328.34","328.33","""36097"""
"seneca_county",NA,"33,688",NA,"33,814",NA,"-0.4%","33,814","35,251","5.2%","20.1%","20.3%","47.0%","90.9%","5.7%","0.6%","0.9%","Z","2.0%","4.1%","88.0%","2,445","2.3%","16,151","73.0%","$111,800","$1,170","$549","$828","40","13,603","2.28","87.0%","7.4%","90.6%","83.4%","84.7%","21.5%","12.1%","6.3%","57.1%","59.4%","204,898","85,189","78,021","505,695","$14,746","21.8","$59,086","$30,732","13.4%","706","10,032","361,117","-3.0%","1,920","609","321","S","S","443","S","387","104.5","108.9","323.70","323.71","""36099"""
"tioga_county",NA,"47,980",NA,"48,455",NA,"-1.0%","48,455","51,125","4.7%","20.4%","21.5%","49.9%","96.3%","1.1%","0.3%","0.9%","Z","1.4%","2.1%","94.6%","3,390","1.9%","21,918","78.0%","$122,900","$1,329","$535","$829","163","20,316","2.36","90.1%","2.5%","91.0%","86.9%","92.7%","25.8%","11.5%","4.5%","61.0%","55.7%","44,569","64,807","31,998","350,322","$7,200","23.6","$64,987","$34,101","11.7%","745","10,365","572,832","28.6%","2,770","687","373","172","S","549","S","568","93.4","98.6","518.77","518.60","""36107"""
"tompkins_county",NA,"105,162",NA,"105,740",NA,"-0.5%","105,740","101,564","3.6%","14.4%","15.7%","50.7%","81.5%","4.5%","0.5%","9.8%","0.1%","3.7%","5.5%","77.4%","3,879","12.3%","47,375","54.2%","$228,900","$1,782","$725","$1,218","644","42,889","2.14","72.5%","16.0%","95.3%","87.2%","95.0%","55.3%","7.6%","4.5%","59.2%","57.8%","279,394","643,164","93,970","1,194,095","$11,624","20.1","$64,260","$37,250","16.2%","2,269","48,904","2,160,017","-3.5%","7,685","2,041","1,022","403","103","1,523","S","1,541","222.8","214.0","474.64","474.65","""36109"""
"cayuga_county",NA,"75,880",NA,"76,248",NA,"-0.5%","76,248","80,026","4.8%","19.4%","20.6%","48.3%","91.6%","4.6%","0.5%","0.7%","0.1%","2.5%","3.3%","89.3%","4,907","2.1%","36,751","70.5%","$138,200","$1,359","$585","$799","72","30,604","2.36","87.9%","3.9%","89.6%","83.2%","88.1%","22.2%","10.1%","5.7%","57.5%","56.7%","111,983","361,020","192,208","886,842","$11,444","22.8","$59,602","$32,690","14.8%","1,534","18,602","729,880","-3.4%","4,246","1,444","806","181","S","1,142","S","1,079","110.3","115.7","691.58","691.58","""36011"""
"livingston_county",NA,"61,578",NA,"61,834",NA,"-0.4%","61,834","65,393","4.2%","17.6%","19.2%","49.2%","93.2%","3.1%","0.5%","1.3%","0.1%","1.7%","4.1%","90.2%","3,701","3.7%","27,163","76.3%","$142,000","$1,357","$609","$843","34","24,012","2.34","85.7%","7.3%","91.4%","86.4%","91.9%","28.9%","8.8%","5.2%","57.5%","56.1%","102,473","164,792","28,278","700,000","$11,023","24.7","$64,467","$33,015","12.0%","1,211","13,634","518,084","-0.2%","3,517","985","563","181","S","810","S","778","97.9","103.5","631.76","631.76","""36051"""
"monroe_county",NA,"755,160",NA,"759,443",NA,"-0.6%","759,443","744,344","5.2%","20.5%","18.3%","51.5%","76.7%","16.1%","0.5%","3.7%","0.1%","2.9%","9.6%","69.8%","32,405","8.5%","338,052","63.7%","$160,000","$1,461","$663","$991","1,067","311,955","2.34","86.0%","13.4%","92.3%","87.4%","91.1%","40.0%","10.8%","4.6%","63.8%","60.5%","1,593,440","7,178,969","778,614","10,123,106","$13,615","20.1","$66,317","$37,599","13.3%","17,383","354,169","17,163,728","-2.1%","48,243","14,130","9,151","2,709","1,323","11,368","S","11,863","1,156.0","1,132.6","656.94","657.21","""36055"""
"steuben_county",NA,"92,948",NA,"93,584",NA,"-0.7%","93,584","98,990","5.5%","21.6%","20.3%","49.9%","94.6%","1.7%","0.3%","1.6%","Z","1.7%","1.8%","93.3%","7,023","3.6%","47,576","73.4%","$108,100","$1,232","$507","$755","118","38,650","2.39","89.7%","5.7%","89.6%","83.8%","91.5%","25.5%","11.3%","6.1%","59.4%","56.1%","139,159","572,639","112,928","1,229,718","$12,759","22.0","$58,652","$32,442","13.7%","1,743","25,344","1,456,984","-1.1%","5,068","1,464","881","224","S","1,161","S","1,133","67.3","71.2","1,390.51","1,390.56","""36101"""
"yates_county",NA,"24,613",NA,"24,774",NA,"-0.6%","24,774","25,348","6.2%","22.2%","21.5%","51.1%","96.7%","1.0%","0.3%","0.8%","Z","1.2%","2.2%","94.8%","1,407","1.7%","13,135","76.2%","$146,600","$1,239","$560","$723","68","8,594","2.74","93.5%","14.8%","80.0%","76.9%","86.2%","24.5%","8.0%","8.0%","56.9%","51.8%","26,115","67,678","14,359","194,639","$7,779","21.6","$57,635","$28,832","10.6%","525","4,990","166,307","-5.4%","1,989","564","355","S","S","463","34","428","73.3","75.0","338.14","338.14","""36123"""
"ontario_county",NA,"112,508",NA,"112,458",NA,"Z","112,458","107,931","4.6%","19.5%","21.5%","50.8%","93.2%","3.0%","0.4%","1.4%","0.1%","2.0%","5.2%","89.1%","6,209","3.8%","52,930","73.3%","$169,200","$1,461","$616","$962","437","46,547","2.33","87.3%","6.4%","92.6%","88.1%","93.3%","37.5%","8.9%","4.6%","62.9%","59.4%","283,235","755,801","129,314","2,309,861","$21,065","23.4","$70,694","$39,751","7.8%","2,866","46,659","2,434,189","-3.9%","7,302","2,554","1,625","336","S","2,074","202","1,923","174.6","167.6","644.08","644.07","""36069"""
"wayne_county",NA,"90,923",NA,"91,283",NA,"-0.4%","91,283","93,772","5.4%","21.2%","20.0%","49.9%","93.4%","3.1%","0.4%","0.7%","0.1%","2.4%","4.8%","89.4%","5,825","2.7%","42,364","78.1%","$134,800","$1,379","$572","$810","137","37,771","2.38","90.7%","5.3%","91.3%","85.9%","90.3%","24.4%","10.7%","6.2%","62.4%","58.6%","78,377","228,084","34,592","997,103","$11,026","24.6","$64,152","$33,705","10.0%","1,683","20,360","905,367","0.9%","4,835","1,494","990","S","69","1,249","S","1,191","151.2","155.3","603.83","603.83","""36117"""
"erie_county",NA,"950,683",NA,"954,236",NA,"-0.4%","954,236","919,040","5.2%","20.2%","18.7%","51.2%","78.8%","13.8%","0.8%","4.3%","0.1%","2.3%","6.0%","74.4%","49,769","7.2%","440,126","65.2%","$169,100","$1,404","$564","$893","1,348","403,064","2.29","88.2%","10.8%","90.9%","86.2%","92.1%","35.9%","9.7%","4.2%","63.0%","59.4%","2,373,674","9,058,246","2,065,135","13,619,165","$14,813","21.2","$62,578","$36,530","13.7%","22,412","423,814","20,275,413","-0.8%","54,312","17,588","11,332","3,187","1,381","14,414","992","14,533","915.1","881.4","1,042.73","1,042.69","""36029"""
"niagara_county",NA,"211,653",NA,"212,666",NA,"-0.5%","212,666","216,469","5.1%","19.9%","20.2%","50.9%","87.2%","7.4%","1.2%","1.2%","0.1%","2.9%","3.7%","84.5%","13,864","3.6%","100,304","71.9%","$140,400","$1,329","$561","$753","205","90,030","2.32","91.2%","4.6%","89.8%","84.8%","91.6%","26.3%","10.9%","4.6%","60.9%","57.7%","834,387","873,688","284,562","2,721,401","$12,903","22.8","$60,834","$33,465","13.0%","4,516","61,980","2,249,803","-2.1%","10,449","3,960","2,509","654","311","3,200","S","3,262","407.1","414.4","522.35","522.36","""36063"""
"allegany_county",NA,"46,106",NA,"46,456",NA,"-0.8%","46,456","48,946","5.1%","20.1%","20.0%","48.9%","95.6%","1.4%","0.4%","1.2%","Z","1.4%","1.8%","94.2%","3,414","1.7%","23,505","81.0%","$80,900","$1,069","$471","$686","34","16,671","2.51","88.5%","4.7%","87.7%","80.4%","91.0%","22.4%","11.9%","5.2%","53.6%","52.1%","69,286","133,293","12,319","247,600","$5,305","22.4","$54,375","$26,388","14.6%","737","10,977","390,839","-0.8%","2,438","621","337","S","23","480","S","454","45.1","47.6","1,029.44","1,029.31","""36003"""
"wyoming_county",NA,"40,491",NA,"40,531",NA,"-0.1%","40,531","42,155","4.5%","18.3%","19.2%","45.4%","91.9%","5.9%","0.5%","0.5%","0.1%","1.2%","3.5%","89.4%","2,239","2.2%","18,275","77.4%","$125,300","$1,232","$536","$713","39","15,870","2.39","91.6%","3.3%","89.0%","81.3%","88.4%","18.1%","8.7%","4.8%","57.0%","57.9%","37,148","130,469","48,560","392,409","$9,738","25.3","$60,013","$32,139","9.4%","764","8,588","353,601","-1.5%","2,074","681","456","S","S","563","S","535","68.4","71.1","592.75","592.75","""36121"""
"orleans_county",NA,"40,191",NA,"40,343",NA,"-0.4%","40,343","42,883","4.7%","18.8%","19.4%","49.7%","90.0%","6.2%","0.8%","0.6%","0.1%","2.3%","5.2%","86.1%","2,679","2.8%","18,245","74.5%","$107,700","$1,250","$603","$802","31","16,203","2.33","90.2%","6.1%","87.5%","83.5%","87.0%","17.2%","12.2%","5.1%","54.8%","50.5%","35,255","92,762","27,484","325,407","$7,973","25.3","$54,882","$29,085","16.1%","638","7,565","290,048","-1.5%","1,889","551","338","80","34","432","29","404","103.1","109.6","391.26","391.26","""36073"""
"genesee_county",NA,"57,853",NA,"58,388",NA,"-0.9%","58,388","60,079","5.0%","20.3%","19.6%","49.7%","92.8%","3.2%","1.2%","0.7%","Z","2.1%","3.7%","90.0%","3,634","2.4%","26,098","72.6%","$130,100","$1,265","$545","$808","93","24,461","2.35","90.3%","3.5%","91.1%","85.6%","92.6%","22.0%","11.2%","4.9%","64.2%","61.2%","103,451","270,241","32,345","889,560","$15,383","23.4","$63,734","$32,477","9.6%","1,245","16,611","662,802","-2.5%","2,975","1,013","617","150","49","800","S","765","118.4","121.9","492.94","492.94","""36037"""
