"county_name","Population Estimates, July 1 2022, (V2022)","Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2022)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2019","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010","FIPS Code"
"westchester_county",NA,"997,895",NA,"1,004,457",NA,"-0.7%","1,004,457","949,113","5.2%","21.4%","17.8%","51.2%","72.9%","16.7%","1.0%","6.6%","0.1%","2.7%","25.9%","52.4%","26,426","25.3%","392,186","61.6%","$559,900","$3,598","$1,484","$1,682","2,319","364,413","2.67","90.4%","33.9%","94.1%","89.7%","88.9%","50.6%","5.9%","5.6%","65.5%","60.2%","2,561,634","10,819,866","1,915,831","16,295,562","$16,799","34.8","$105,387","$61,830","9.4%","31,014","384,010","27,525,545","-2.2%","104,393","27,684","18,052","5,328","5,660","19,754","934","24,416","2,332.0","2,204.7","430.72","430.50","""36119"""
"suffolk_county",NA,"1,526,344",NA,"1,525,920",NA,"Z","1,525,920","1,493,350","5.2%","20.7%","17.6%","50.4%","83.6%","9.0%","0.7%","4.4%","0.1%","2.1%","20.7%","65.7%","56,257","15.5%","579,431","81.8%","$436,300","$2,937","$1,296","$1,895","1,459","505,564","2.96","92.2%","22.4%","94.7%","90.5%","90.4%","38.3%","6.1%","4.9%","65.6%","60.6%","3,936,735","13,050,833","2,886,231","27,801,053","$18,736","32.1","$111,660","$49,404","6.4%","49,173","591,446","33,388,676","-0.5%","141,623","43,485","29,452","8,162","6,481","34,672","2,056","38,750","1,674.7","1,637.4","911.17","912.05","""36103"""
"cattaraugus_county",NA,"76,426",NA,"77,042",NA,"-0.8%","77,042","80,317","5.4%","22.0%","20.3%","49.8%","91.6%","1.5%","3.7%","0.8%","Z","2.3%","2.4%","90.0%","5,638","1.5%","40,231","72.6%","$92,500","$1,141","$486","$682","128","31,333","2.38","90.6%","4.3%","85.7%","77.8%","89.6%","20.0%","12.0%","6.8%","56.7%","53.8%","337,841","375,559","55,421","1,096,043","$14,198","22.4","$53,537","$27,917","16.1%","1,532","20,505","787,463","-1.5%","3,665","1,241","752","123","82","961","S","914","58.9","61.4","1,308.16","1,308.35","""36009"""
"chautauqua_county",NA,"126,807",NA,"127,657",NA,"-0.7%","127,657","134,905","5.2%","20.3%","21.1%","50.2%","93.2%","2.9%","0.8%","0.7%","0.1%","2.4%","8.1%","86.6%","8,058","2.4%","66,338","68.8%","$96,000","$1,038","$465","$694","88","53,050","2.31","89.1%","8.1%","87.7%","81.8%","89.3%","23.3%","13.1%","6.0%","55.4%","52.6%","228,144","653,326","121,395","1,508,880","$11,749","18.7","$50,408","$27,980","17.2%","2,692","39,745","1,574,586","-3.1%","7,036","2,249","1,425","287","106","1,804","S","1,758","120.4","127.2","1,060.41","1,060.23","""36013"""
"albany_county",NA,"313,743",NA,"314,848",NA,"-0.4%","314,848","304,204","4.7%","18.2%","17.9%","51.4%","75.3%","14.2%","0.3%","7.0%","0.1%","3.1%","6.6%","70.9%","13,846","11.3%","146,813","57.3%","$235,200","$1,781","$664","$1,113","889","130,754","2.27","85.7%","13.7%","92.9%","86.9%","92.8%","44.3%","8.0%","4.7%","64.9%","62.0%","1,001,244","4,402,020","732,288","6,617,664","$21,492","20.7","$73,810","$40,997","11.9%","9,347","179,079","9,741,257","-2.4%","19,941","7,554","4,473","1,411","S","5,350","S","5,842","602.1","581.9","522.89","522.80","""36001"""
"greene_county",NA,"48,499",NA,"47,931",NA,"1.2%","47,931","49,221","4.3%","15.9%","23.0%","47.5%","89.5%","6.3%","0.5%","1.3%","Z","2.4%","6.8%","84.2%","3,029","5.7%","28,993","77.0%","$190,000","$1,655","$571","$963","107","17,451","2.56","93.7%","7.5%","87.2%","76.3%","87.9%","25.6%","9.9%","5.6%","55.2%","57.0%","130,781","100,052","47,321","713,994","$15,062","28.5","$62,810","$33,894","11.7%","1,135","10,313","383,437","-3.3%","3,866","944","599","116","S","767","S","751","74.1","76.1","647.16","647.16","""36039"""
"rensselaer_county",NA,"160,232",NA,"161,130",NA,"-0.6%","161,130","159,429","4.9%","19.2%","18.1%","50.3%","85.7%","8.3%","0.4%","2.9%","0.1%","2.7%","5.4%","81.9%","8,873","5.4%","74,356","62.8%","$204,200","$1,720","$671","$1,046","230","66,341","2.34","85.8%","7.8%","93.0%","88.2%","92.3%","34.3%","10.5%","3.9%","64.2%","61.2%","274,210","870,266","158,522","1,558,396","$9,788","23.5","$76,731","$38,955","12.3%","3,008","45,302","2,629,409","-0.2%","9,347","2,546","1,626","392","259","1,978","S","2,012","247.0","244.4","652.46","652.43","""36083"""
"columbia_county",NA,"61,778",NA,"61,570",NA,"0.3%","61,570","63,096","3.9%","16.3%","25.4%","49.7%","90.0%","5.1%","0.3%","2.2%","0.1%","2.3%","5.5%","85.8%","3,396","6.7%","33,301","72.8%","$250,600","$1,730","$700","$992","101","25,167","2.35","90.2%","7.6%","90.7%","83.3%","91.2%","34.9%","9.9%","6.1%","59.3%","57.3%","107,827","378,724","108,683","784,592","$13,009","26.0","$73,065","$42,900","10.5%","1,759","16,403","662,872","-3.7%","6,593","1,809","1,062","294","S","1,477","S","1,512","97.0","99.4","634.66","634.71","""36021"""
"sullivan_county",NA,"79,806",NA,"78,624",NA,"1.5%","78,624","77,547","5.8%","21.4%","19.2%","48.3%","83.8%","10.2%","0.8%","2.1%","0.1%","3.0%","17.4%","70.0%","3,926","9.8%","49,565","69.2%","$185,700","$1,627","$726","$933","416","28,816","2.54","90.9%","16.9%","89.9%","83.8%","86.6%","27.0%","11.4%","6.5%","56.1%","55.7%","207,248","425,751","90,117","872,156","$11,629","28.6","$63,393","$33,037","17.1%","1,981","23,016","795,293","1.9%","5,952","1,617","929","368","160","1,276","S","1,354","81.2","80.1","968.15","968.13","""36105"""
"ulster_county",NA,"182,951",NA,"181,851",NA,"0.6%","181,851","182,493","4.3%","17.2%","20.8%","50.1%","87.0%","7.3%","0.5%","2.2%","0.1%","3.0%","11.1%","78.2%","7,737","7.3%","86,168","69.5%","$252,300","$1,988","$803","$1,175","342","71,194","2.39","89.9%","10.6%","93.3%","89.7%","91.4%","34.5%","9.9%","6.2%","60.1%","58.4%","479,092","841,209","166,612","2,570,533","$14,389","28.6","$71,040","$38,966","11.3%","4,781","45,886","1,714,641","-2.1%","17,562","4,341","2,566","856","399","3,512","221","3,656","161.8","162.3","1,124.24","1,124.24","""36111"""
